Location,Clubname,League,Latitude,Longitude,Address,Facility_Type,Size
Johnstown,Na Fianna G.A.A .,Gaelic Athletic Association,53.54157665,-6.22770962799422,"Johnstown, Lusk Ed, Ballyboughal, Fingal, County Dublin, Leinster, Ireland",Soccer,nan
Martin Savage,St. Oliver Plunketts Gaa.,Gaelic Athletic Association,53.3719591,-6.3322962,"Martin Savage Memorial Monument, L3031, Ashtown, Castleknock-Park Ed, Castleknock, Fingal, County Dublin, Leinster, D15 Xkp4, Ireland",Soccer,nan
Millbrook,St. Lawr. O`Toole G.A.A.,Gaelic Athletic Association,53.31905805,-6.23539135743444,"Millbrook, 29, Eglinton Road, Donnybrook East, Rathmines East B Ed, Dublin 4, Dublin, County Dublin, Leinster, D04 Pv32, Ireland",Soccer,nan
Pearse Park,Crumlin Hf&C,Gaelic Athletic Association,53.2748878,-6.1425269,"Pearse Park, Thomastown, Dun Laoghaire-Sallynoggin South Ed, Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 Ad99, Ireland",Soccer,nan
Pearse Park,Good Counsel G.A.A.,Gaelic Athletic Association,53.2748878,-6.1425269,"Pearse Park, Thomastown, Dun Laoghaire-Sallynoggin South Ed, Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 Ad99, Ireland",Soccer,nan
Poppintree,Ballymun Kickhams,Gaelic Athletic Association,53.40234405,-6.28712461437514,"Poppintree (Finglas), Ballymun A Ed, Dublin 11, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Poppintree,Setanta,Gaelic Athletic Association,53.40234405,-6.28712461437514,"Poppintree (Finglas), Ballymun A Ed, Dublin 11, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Ringsend,Clanna Gael Fontenoy,Gaelic Athletic Association,53.341944,-6.226389,"Ringsend, Pembroke East A Ed, Dublin 4, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Sean Moore,Clanna Gael Fontenoy,Gaelic Athletic Association,53.3392107,-6.2164504,"Sean Moore Road, Pembroke East B Ed, Dublin 4, Dublin, County Dublin, Leinster, D04 K743, Ireland",Soccer,nan
Springdale,St. Monicas G.A.A.,Gaelic Athletic Association,54.5064698,-6.7801124,"Springdale, Drumcoo, Dungannon, County Tyrone, Northern Ireland, Bt70 1El, Uk",Soccer,nan
St. Annes,St. Lawr. O`Toole G.A.A.,Gaelic Athletic Association,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Craobh Chiarain,Gaelic Athletic Association,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,St. Vincents G.A.A,Gaelic Athletic Association,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Naomh Barrog G.A.A.,Gaelic Athletic Association,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Scoil Ui Chonaill,Gaelic Athletic Association,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Clontarf G.A.A. Club,Gaelic Athletic Association,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Raheny G.A.A.,Gaelic Athletic Association,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
The Ranch,Liffey Gaels G.A.A.,Gaelic Athletic Association,53.34347825,-6.32916531198999,"The Ranch, Inchicore North, Kilmainham A Ed, Dublin 10, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Walkinstown,Good Counsel G.A.A.,Gaelic Athletic Association,53.3216133,-6.3301177,"Walkinstown, Walkinstown B Ed, Dublin 12, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
St. Annes,Clontarf Rugby Club,Irish Rugby Football Union,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
Brickfields,Benbulben Utd F.C (New Team),Leinster Football League,53.3320387,-6.3033135,"Keeper Road, Brickfields Road, Keeper Road, Dolphinsbarn, Crumlin B Ed, Dublin 12, Dublin, County Dublin, Leinster, D12 Yk06, Ireland",Soccer,nan
Brickfields,Inchicore Athletic F.C.,Leinster Football League,53.3320387,-6.3033135,"Keeper Road, Brickfields Road, Keeper Road, Dolphinsbarn, Crumlin B Ed, Dublin 12, Dublin, County Dublin, Leinster, D12 Yk06, Ireland",Soccer,nan
Dartry,Doddervale United,Leinster Football League,53.3099564,-6.2631069,"Dartry, Rathfarnham Ed, Dublin 6, Dublin, County Dublin, Leinster, D06 Cf67, Ireland",Soccer,nan
Farnham,Finglas Athletic,Leinster Football League,53.3840936,-6.3003502,"Farnham Drive, Finglas East, Finglas South B Ed, Dublin 11, Dublin, County Dublin, Leinster, D11 K254, Ireland",Soccer,nan
John Paul,Cabra Celtic,Leinster Football League,53.3631256,-6.2361861,"John Paul Photography Ltd, 9, Fairview, Ballybough, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Ya26, Ireland",Soccer,nan
Le Fanu,Colepark Utd,Leinster Football League,53.3358185,-6.3541441,"Le Fanu Bridge, Ballyfermot Lower, Kylemore Ed, Dublin 10, Dublin, County Dublin, Leinster, Dublin 10, Ireland",Soccer,nan
Ringsend,Hoganvilla F.C,Leinster Football League,53.341944,-6.226389,"Ringsend, Pembroke East A Ed, Dublin 4, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Stannaway,Galty Celtic,Leinster Football League,53.32068665,-6.30068917285273,"Stannaway, Kimmage B Ed, Dublin 12, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Stannaway,Yellowstone Celtic,Leinster Football League,53.32068665,-6.30068917285273,"Stannaway, Kimmage B Ed, Dublin 12, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Stannaway,Harolds Cross Y.C,Leinster Football League,53.32068665,-6.30068917285273,"Stannaway, Kimmage B Ed, Dublin 12, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Walkinstown,Yellowstone Celtic,Leinster Football League,53.3216133,-6.3301177,"Walkinstown, Walkinstown B Ed, Dublin 12, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Dolphin,Rialto F.C,Leinster Football League.Amateur Football League,54.85697885,-6.26985945467716,"Dolphin, 116, Larne Road, Ballykeel, Ballymena, County Antrim, Northern Ireland, Bt42 3Ax, Uk",Soccer,nan
Beechill,Beechill United,Leinster Senior League,53.3175917,-6.2330531,"Beechill Ave (Beaver Row), Beech Hill Estate, Smotscourt, Pembroke East D Ed, Dublin 4, Dublin, County Dublin, Leinster, D04 Pv32, Ireland",Soccer,nan
Brickfields,Queens Park F.C.,Leinster Senior League,53.3320387,-6.3033135,"Keeper Road, Brickfields Road, Keeper Road, Dolphinsbarn, Crumlin B Ed, Dublin 12, Dublin, County Dublin, Leinster, D12 Yk06, Ireland",Soccer,nan
Brickfields,Mourne Celtic Seniors,Leinster Senior League,53.3320387,-6.3033135,"Keeper Road, Brickfields Road, Keeper Road, Dolphinsbarn, Crumlin B Ed, Dublin 12, Dublin, County Dublin, Leinster, D12 Yk06, Ireland",Soccer,nan
Brickfields,Black Forge,Leinster Senior League,53.3320387,-6.3033135,"Keeper Road, Brickfields Road, Keeper Road, Dolphinsbarn, Crumlin B Ed, Dublin 12, Dublin, County Dublin, Leinster, D12 Yk06, Ireland",Soccer,nan
Bunting Road,W.S.A.F.,Leinster Senior League,53.3201888,-6.3260332,"Bunting Road, Walkinstown, Walkinstown B Ed, Dublin 12, Dublin, County Dublin, Leinster, D12 Xf88, Ireland",Soccer,nan
Bushy,St. Vincent'S Hospital Fc,Leinster Senior League,53.3021198,-6.29144609073588,"Bushy Park, Terenure, Terenure D Ed, Dublin 6W, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Bushy,English In Dublin F.C,Leinster Senior League,53.3021198,-6.29144609073588,"Bushy Park, Terenure, Terenure D Ed, Dublin 6W, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Bushy,Rathfarnham Punters,Leinster Senior League,53.3021198,-6.29144609073588,"Bushy Park, Terenure, Terenure D Ed, Dublin 6W, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Dartry,Orwell F.C.,Leinster Senior League,53.3099564,-6.2631069,"Dartry, Rathfarnham Ed, Dublin 6, Dublin, County Dublin, Leinster, D06 Cf67, Ireland",Soccer,nan
Herbert,English In Dublin F.C,Leinster Senior League,53.3276869,-6.23656997033567,"Herbert Park, Forty Acres, Pembroke West B Ed, Dublin 4, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Irishtown,St. Patricks C.Y.F.C.,Leinster Senior League,53.5324945,-6.22615702070604,"Irishtown, Lusk Ed, Ballyboughal, Fingal, County Dublin, Leinster, Ireland",Soccer,nan
St. Annes,Pioneers F.C.,Leinster Senior League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,St. Judes F.C.,Leinster Senior League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
Stannaway,Iveagh Celtic,Leinster Senior League,53.32068665,-6.30068917285273,"Stannaway, Kimmage B Ed, Dublin 12, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Stannaway,Meath Rangers F.C.,Leinster Senior League,53.32068665,-6.30068917285273,"Stannaway, Kimmage B Ed, Dublin 12, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Stannaway,Donore F.C,Leinster Senior League,53.32068665,-6.30068917285273,"Stannaway, Kimmage B Ed, Dublin 12, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Walkinstown,Walkinstown United,Leinster Senior League,53.3216133,-6.3301177,"Walkinstown, Walkinstown B Ed, Dublin 12, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Dundaniel,Kilmore Ladies F.C.,North Dublin School Girls League,53.394585,-6.225759,"Dundaniel Road, Kilmore Big, Kilmore B Ed, Dublin 5, Dublin, County Dublin, Leinster, D05N7F2, Ireland",Soccer,nan
Oscar Traynor,Kilmore Ladies F.C.,North Dublin School Girls League,53.3977132,-6.2225083,"Oscar Traynor Road, Kilmore Big, Kilmore B Ed, Dublin 17, Dublin, County Dublin, Leinster, D17 A076, Ireland",Soccer,nan
Albert College,Drumcondra F.C (Schoolboys),Noth Dublin Schoolboys League,53.3854709,-6.26080914918107,"Albert College (A), Albert College Avenue, Albert College Estate, Wad, Whitehall A Ed, Dublin 9, Dublin, County Dublin, Leinster, D09 Fw22, Ireland",Soccer,nan
Ardmore,Artane/Beaumont Juveniles,Noth Dublin Schoolboys League,54.50692755,-6.42590484391681,"Ardmore, Armagh, County Armagh, Northern Ireland, Uk",Soccer,nan
Ashington,Navan Road United,Noth Dublin Schoolboys League,53.3735101,-6.310396,"Ashington Park, Cabragh (Castleknock), Ashtown A Ed, Dublin 7, Dublin, County Dublin, Leinster, D07 Xcx5, Ireland",Soccer,nan
Belcamp,St. Columbans S/Boys,Noth Dublin Schoolboys League,53.4068274,-6.19692618719913,"Belcamp, Priorswood B Ed, Dublin 17, Dublin, County Dublin, Leinster, 17, Ireland",Soccer,nan
Belcamp,Priorswood School Boys,Noth Dublin Schoolboys League,53.4068274,-6.19692618719913,"Belcamp, Priorswood B Ed, Dublin 17, Dublin, County Dublin, Leinster, 17, Ireland",Soccer,nan
Belcamp,St. Francis Moatview,Noth Dublin Schoolboys League,53.4068274,-6.19692618719913,"Belcamp, Priorswood B Ed, Dublin 17, Dublin, County Dublin, Leinster, 17, Ireland",Soccer,nan
Clonturk,Drumcondra F.C (Schoolboys),Noth Dublin Schoolboys League,53.38171705,-6.24575159383744,"Clonturk, Whitehall A Ed, Dublin 9, Dublin, County Dublin, Leinster, D09 C7F8, Ireland",Soccer,nan
Darndale,Darndale F.C.,Noth Dublin Schoolboys League,53.4009603,-6.19403177988914,"Darndale, Priorswood C Ed, Dublin 17, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Fairview,St. Josephs Eastwall Y.C.F.C.,Noth Dublin Schoolboys League,53.3628457,-6.2366557,"Fairview, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Dc92, Ireland",Soccer,nan
Fairview,Marino A.F.C.,Noth Dublin Schoolboys League,53.3628457,-6.2366557,"Fairview, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Dc92, Ireland",Soccer,nan
Glin Road,St. Columbans S/Boys,Noth Dublin Schoolboys League,53.4020707,-6.2053385,"Glin Road, Fairfield, Priorswood E Ed, Dublin 17, Dublin, County Dublin, Leinster, 17, Ireland",Soccer,nan
Glin Road,Priorswood School Boys,Noth Dublin Schoolboys League,53.4020707,-6.2053385,"Glin Road, Fairfield, Priorswood E Ed, Dublin 17, Dublin, County Dublin, Leinster, 17, Ireland",Soccer,nan
John Paul,Navan Road United,Noth Dublin Schoolboys League,53.3631256,-6.2361861,"John Paul Photography Ltd, 9, Fairview, Ballybough, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Ya26, Ireland",Soccer,nan
Marino,Marino A.F.C.,Noth Dublin Schoolboys League,53.37047995,-6.23149046829368,"Marino, Grace Park Ed, Dublin 9, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Mellowes,Northway Mellowes F.C,Noth Dublin Schoolboys League,53.3898277,-6.3068943,"Mellowes Road, Cardiffscastle, Finglas North B Ed, Dublin 11, Dublin, County Dublin, Leinster, D11 K254, Ireland",Soccer,nan
Northway,Northway Mellowes F.C,Noth Dublin Schoolboys League,54.4230284,-6.4481701,"Northway, Corcrain, Portadown, County Armagh, Northern Ireland, Bt62 3Lq, Uk",Soccer,nan
Oscar Traynor,Woodlawn F.C.(Juv),Noth Dublin Schoolboys League,53.3977132,-6.2225083,"Oscar Traynor Road, Kilmore Big, Kilmore B Ed, Dublin 17, Dublin, County Dublin, Leinster, D17 A076, Ireland",Soccer,nan
Rockfield,Artane/Beaumont Juveniles,Noth Dublin Schoolboys League,53.29428765,-6.17281714012544,"Rockfield, Blackrock-Templehill Ed, Blackrock, Dún Laoghaire-Rathdown, County Dublin, Leinster, Ireland",Soccer,nan
St. Annes,Marino A.F.C.,Noth Dublin Schoolboys League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
Poppintree,Willows F.C.,"Noth Dublin Schoolboys League,Amateur Football League",53.40234405,-6.28712461437514,"Poppintree (Finglas), Ballymun A Ed, Dublin 11, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Greendale,Kilbarrack United F.C.,"Noth Dublin Schoolboys League,Athletic Union League League",53.38606505,-6.15047013055555,"Raheny-Greendale Ed, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Roseglen,Kilbarrack United F.C.,"Noth Dublin Schoolboys League,Athletic Union League League",53.3854698,-6.1603965,"Roseglen Avenue, Kilbarrack Upper, Raheny-Foxfield Ed, Dublin 5, Dublin, County Dublin, Leinster, Dublin 13, Ireland",Soccer,nan
Edenmore,Grange Woodbine F.C.,"Noth Dublin Schoolboys League,Athletic Union League League",53.386264,-6.18738019366035,"Edenmore, Edenmore Ed, Dublin 5, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Woodbine Ave,Grange Woodbine F.C.,"Noth Dublin Schoolboys League,Athletic Union League League",53.309439,-6.2107616,"Woodbine Avenue, Trimleston Or Owenstown, Blackrock-Glenomena Ed, Goatstown, Dún Laoghaire-Rathdown, County Dublin, Leinster, D04 Ae48, Ireland",Soccer,nan
St. Annes,Clontarf F.C.,"North Dublin Schoolboys League,Dublin District Schoolboys League",53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
Fr. Collins,Mid Sutton F.C,"North Dublin Schoolboys League,Leinster Senior League",0.0,0.0,0,Soccer,nan
St. Annes,Mid Sutton F.C,"North Dublin Schoolboys League,Leinster Senior League",53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
Balcurris Park,Unidare Rfc,Rugby,53.40424065,-6.27263549858681,"Balcurris, Ballymun B Ed, Dublin 11, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Dartry,Beechwood F.C,South Dublin Football League,53.3099564,-6.2631069,"Dartry, Rathfarnham Ed, Dublin 6, Dublin, County Dublin, Leinster, D06 Cf67, Ireland",Soccer,nan
Herbert,Beechwood F.C,South Dublin Football League,53.3276869,-6.23656997033567,"Herbert Park, Forty Acres, Pembroke West B Ed, Dublin 4, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Herbert,Belmont F.C,South Dublin Football League,53.3276869,-6.23656997033567,"Herbert Park, Forty Acres, Pembroke West B Ed, Dublin 4, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Le Fanu,Afc Belgrave,South Dublin Football League,53.3358185,-6.3541441,"Le Fanu Bridge, Ballyfermot Lower, Kylemore Ed, Dublin 10, Dublin, County Dublin, Leinster, Dublin 10, Ireland",Soccer,nan
Stannaway,James Utd.,South Dublin Football League,53.32068665,-6.30068917285273,"Stannaway, Kimmage B Ed, Dublin 12, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Cherry Orchard,Orchard Celtic,"South Dublin Football League,Athletic Union League",53.32998585,-6.276184427657,"Cherry Orchard, Merchants Quay E Ed, Dublin 8, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Beechill,Donnybrook F.C.,South Dublin Football League,53.3175917,-6.2330531,"Beechill Ave (Beaver Row), Beech Hill Estate, Smotscourt, Pembroke East D Ed, Dublin 4, Dublin, County Dublin, Leinster, D04 Pv32, Ireland",Soccer,nan
Herbert,Donnybrook F.C.,South Dublin Football League,53.3276869,-6.23656997033567,"Herbert Park, Forty Acres, Pembroke West B Ed, Dublin 4, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Albert College,Glasnaion F.C,United Churches Football League,53.3854709,-6.26080914918107,"Albert College (A), Albert College Avenue, Albert College Estate, Wad, Whitehall A Ed, Dublin 9, Dublin, County Dublin, Leinster, D09 Fw22, Ireland",Soccer,nan
Brickfields,K.C.R Utd.,United Churches Football League,53.3320387,-6.3033135,"Keeper Road, Brickfields Road, Keeper Road, Dolphinsbarn, Crumlin B Ed, Dublin 12, Dublin, County Dublin, Leinster, D12 Yk06, Ireland",Soccer,nan
Brickfields,Booterstown United F.C.,United Churches Football League,53.3320387,-6.3033135,"Keeper Road, Brickfields Road, Keeper Road, Dolphinsbarn, Crumlin B Ed, Dublin 12, Dublin, County Dublin, Leinster, D12 Yk06, Ireland",Soccer,nan
Brickfields,Riverside United,United Churches Football League,53.3320387,-6.3033135,"Keeper Road, Brickfields Road, Keeper Road, Dolphinsbarn, Crumlin B Ed, Dublin 12, Dublin, County Dublin, Leinster, D12 Yk06, Ireland",Soccer,nan
Brickfields,Lower Crumlin F.C.,United Churches Football League,53.3320387,-6.3033135,"Keeper Road, Brickfields Road, Keeper Road, Dolphinsbarn, Crumlin B Ed, Dublin 12, Dublin, County Dublin, Leinster, D12 Yk06, Ireland",Soccer,nan
Bushy,Terenure College Afc,United Churches Football League,53.3021198,-6.29144609073588,"Bushy Park, Terenure, Terenure D Ed, Dublin 6W, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Bushy,Sandford Athletic,United Churches Football League,53.3021198,-6.29144609073588,"Bushy Park, Terenure, Terenure D Ed, Dublin 6W, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Farnham,Francis A.F.C.,United Churches Football League,53.3840936,-6.3003502,"Farnham Drive, Finglas East, Finglas South B Ed, Dublin 11, Dublin, County Dublin, Leinster, D11 K254, Ireland",Soccer,nan
Fr. Collins,Schalke Rovers,United Churches Football League,0.0,0.0,0,Soccer,nan
Herbert,Harding F.C.,United Churches Football League,53.3276869,-6.23656997033567,"Herbert Park, Forty Acres, Pembroke West B Ed, Dublin 4, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Johnstown,Glasnaion F.C,United Churches Football League,53.54157665,-6.22770962799422,"Johnstown, Lusk Ed, Ballyboughal, Fingal, County Dublin, Leinster, Ireland",Soccer,nan
St. Annes,Strand United A.F.C.,United Churches Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Dollymount Fc Seniors,United Churches Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Schalke Rovers,United Churches Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,St Annes United,United Churches Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
Brickfields,Central F.C,United Churches Football League,53.3320387,-6.3033135,"Keeper Road, Brickfields Road, Keeper Road, Dolphinsbarn, Crumlin B Ed, Dublin 12, Dublin, County Dublin, Leinster, D12 Yk06, Ireland",Soccer,nan
Brickfields,Rialto Madrid,United Churches Football League,53.3320387,-6.3033135,"Keeper Road, Brickfields Road, Keeper Road, Dolphinsbarn, Crumlin B Ed, Dublin 12, Dublin, County Dublin, Leinster, D12 Yk06, Ireland",Soccer,nan
Brickfields,Afc Justice,United Churches Football League,53.3320387,-6.3033135,"Keeper Road, Brickfields Road, Keeper Road, Dolphinsbarn, Crumlin B Ed, Dublin 12, Dublin, County Dublin, Leinster, D12 Yk06, Ireland",Soccer,nan
Donaghmede,Seaview Celtic,United Churches Football League,53.3948612,-6.1635775,"Donaghmede, Grange C Ed, Dublin 13, Dublin, County Dublin, Leinster, Dublin 13, Ireland",Soccer,nan
Farnham,Amber Celtic,United Churches Football League,53.3840936,-6.3003502,"Farnham Drive, Finglas East, Finglas South B Ed, Dublin 11, Dublin, County Dublin, Leinster, D11 K254, Ireland",Soccer,nan
Fr. Collins,Seaview Celtic,United Churches Football League,0.0,0.0,0,Soccer,nan
Le Fanu,Chapelizod F.C.,United Churches Football League,53.3358185,-6.3541441,"Le Fanu Bridge, Ballyfermot Lower, Kylemore Ed, Dublin 10, Dublin, County Dublin, Leinster, Dublin 10, Ireland",Soccer,nan
St. Annes,San Marino,United Churches Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Conwell Rovers,United Churches Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,Clontarf Athletic,United Churches Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
St. Annes,White Star Rovers,United Churches Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
Stannaway,Shielton Athletic F.C,United Churches Football League,53.32068665,-6.30068917285273,"Stannaway, Kimmage B Ed, Dublin 12, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Walkinstown,Castle Celtic,United Churches Football League,53.3216133,-6.3301177,"Walkinstown, Walkinstown B Ed, Dublin 12, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
St. Annes,F.C Ailesbury Utd.,United Churches Football League/Amateur Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
Belcamp,Sporting Metro F.C.,United Churches Football League,53.4068274,-6.19692618719913,"Belcamp, Priorswood B Ed, Dublin 17, Dublin, County Dublin, Leinster, 17, Ireland",Soccer,nan
St. Annes,Clontarf F.C (Seniors),United Churches Football League,53.2651078,-6.3609563,"Saint Anne'S, Bohernabreena Ed, Dublin 24, South Dublin, County Dublin, Leinster, D24 P892, Ireland",Soccer,nan
Kilbogget Park,nan,nan,53.25724222,-6.14066541,"Running track, Shanganagh Vale, Loughlinstown, Cabinteely-Kilbogget ED, Killiney, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 CD72, Ireland",1,Snr
Kilbogget Park,nan,nan,53.25761448,-6.13988221,"Seapoint Rugby Club, Churchview Road, Kilbogget, Ballybrack ED, Killiney, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 CD72, Ireland",2,SSG
Kilbogget Park,nan,nan,53.25784232,-6.1392653,"Seapoint Rugby Club, Churchview Road, Kilbogget, Ballybrack ED, Killiney, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 CD72, Ireland",3,SSG
Kilbogget Park,nan,nan,53.25709781,-6.13909364,"63, Coolevin, Gleann na Sailí, Loughlinstown, Cabinteely-Kilbogget ED, Killiney, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 CD72, Ireland",4,SSG
Kilbogget Park,nan,nan,53.256674200000006,-6.14013433,"Running track, Shanganagh Vale, Loughlinstown, Cabinteely-Kilbogget ED, Killiney, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 CD72, Ireland",5,SGG
Kilbogget Park,nan,nan,53.25659718,-6.1381495,"66, Coolevin, Gleann na Sailí, Loughlinstown, Cabinteely-Kilbogget ED, Killiney, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 CD72, Ireland",6,Snr
Kilbogget Park,nan,nan,53.25623775,-6.13876104,"57, Coolevin, Gleann na Sailí, Loughlinstown, Cabinteely-Kilbogget ED, Killiney, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 CD72, Ireland",7,Snr
Kilbogget Park,nan,nan,53.25605162,-6.13971591,"45, Coolevin, Gleann na Sailí, Loughlinstown, Cabinteely-Kilbogget ED, Killiney, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 CD72, Ireland",8,Snr
Kilbogget Park,nan,nan,53.25566651,-6.14180535,"Running track, Shanganagh Vale, Loughlinstown, Cabinteely-Kilbogget ED, Killiney, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 CD72, Ireland",9,Snr
Kilbogget Park,nan,nan,53.25857719,-6.14245445,"114, Shrewsbury Lawn, Kilbogget, Cabinteely-Kilbogget ED, Cornelscourt, Dún Laoghaire-Rathdown, County Dublin, Leinster, D18 CX24, Ireland",10,SSG
Kilbogget Park,nan,nan,53.25967787,-6.14394039,"62A, Shrewsbury Lawn, Kilbogget, Cabinteely-Kilbogget ED, Cornelscourt, Dún Laoghaire-Rathdown, County Dublin, Leinster, D18 CX24, Ireland",11,11
Kilbogget Park,nan,nan,53.26050256,-6.14033014,"Granville Road, Kilbogget, Cabinteely-Granitefield ED, Cornelscourt, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 F2A8, Ireland",A,SNR
