Location,Clubname,League,Latitude,Longitude,Address,Facility_Type,Size
Alfie Byrne,Eastwall Bessborough Utd.,Athletic Union League,53.361111,-6.2279928,"Alfie Byrne Road, Clontarf West, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Ya26, Ireland",Soccer,nan
Coultry,Shangan Athletic,Athletic Union League,53.4223167,-6.26304854422187,"Coultry, Airport Ed, Saint Margaret’S, Fingal, County Dublin, Leinster, Ireland",Soccer,nan
Darndale,Darndale Rovers,Athletic Union League,53.4009603,-6.19403177988914,"Darndale, Priorswood C Ed, Dublin 17, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Donaghmede,Cardonagh A.F.C,Athletic Union League,53.3948612,-6.1635775,"Donaghmede, Grange C Ed, Dublin 13, Dublin, County Dublin, Leinster, Dublin 13, Ireland",Soccer,nan
Farnham,Finglas South F.C.,Athletic Union League,53.3840936,-6.3003502,"Farnham Drive, Finglas East, Finglas South B Ed, Dublin 11, Dublin, County Dublin, Leinster, D11 K254, Ireland",Soccer,nan
Irishtown,Markievicz Celtic F.C.,Athletic Union League,53.5324945,-6.22615702070604,"Irishtown, Lusk Ed, Ballyboughal, Fingal, County Dublin, Leinster, Ireland",Soccer,nan
John Paul,Broombridge Utd,Athletic Union League,53.3631256,-6.2361861,"John Paul Photography Ltd, 9, Fairview, Ballybough, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Ya26, Ireland",Soccer,nan
Johnstown,Griffith Rovers F.C.,Athletic Union League,53.54157665,-6.22770962799422,"Johnstown, Lusk Ed, Ballyboughal, Fingal, County Dublin, Leinster, Ireland",Soccer,nan
Kildonan,W.F.T.A. F.C. Snr.,Athletic Union League,53.4040962,-6.3193021645909,"Kildonan, The Ward Ed, Saint Margaret’S, Fingal, County Dublin, Leinster, Ireland",Soccer,nan
Le Fanu,Musgrave F.C.,Athletic Union League,53.3358185,-6.3541441,"Le Fanu Bridge, Ballyfermot Lower, Kylemore Ed, Dublin 10, Dublin, County Dublin, Leinster, Dublin 10, Ireland",Soccer,nan
Le Fanu,V.O.F.C,Athletic Union League,53.3358185,-6.3541441,"Le Fanu Bridge, Ballyfermot Lower, Kylemore Ed, Dublin 10, Dublin, County Dublin, Leinster, Dublin 10, Ireland",Soccer,nan
Le Fanu,Ballyfermot Football Club,Athletic Union League,53.3358185,-6.3541441,"Le Fanu Bridge, Ballyfermot Lower, Kylemore Ed, Dublin 10, Dublin, County Dublin, Leinster, Dublin 10, Ireland",Soccer,nan
Le Fanu,Clifden Celtic,Athletic Union League,53.3358185,-6.3541441,"Le Fanu Bridge, Ballyfermot Lower, Kylemore Ed, Dublin 10, Dublin, County Dublin, Leinster, Dublin 10, Ireland",Soccer,nan
Le Fanu,Raheen Celtic,Athletic Union League,53.3358185,-6.3541441,"Le Fanu Bridge, Ballyfermot Lower, Kylemore Ed, Dublin 10, Dublin, County Dublin, Leinster, Dublin 10, Ireland",Soccer,nan
Lein Road,Harmonstown F.C,Athletic Union League,53.3829908,-6.1889192,"Lein Road;Ribh Avenue, Ballyhoy, Harmonstown B Ed, Dublin 5, Dublin, County Dublin, Leinster, 3, Ireland",Soccer,nan
Markievicz,Landen Utd,Athletic Union League,53.3410089,-6.34005570272641,"Markievicz Park, Ballyfermot Lower, Decies Ed, Dublin 10, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
